key	start	end
t	1653441438.790251	1653441438.9549887
h	1653441439.1760287	1653441439.3409884
e	1653441439.9420936	1653441440.1239038
space	1653441441.3640053	1653441441.5174327
p	1653441442.4231393	1653441442.5700166
o	1653441443.2530417	1653441443.3920336
o	1653441443.8680155	1653441444.0111482
l	1653441444.9251633	1653441445.0520313
space	1653441445.7851582	1653441445.9623778
o	1653441446.567042	1653441446.6960316
f	1653441447.3595371	1653441447.517985
space	1653441448.0521784	1653441448.1692188
t	1653441449.0151763	1653441449.135177
e	1653441449.8700168	1653441450.0141335
a	1653441450.671127	1653441450.818995
r	1653441451.9419403	1653441452.0459023
s	1653441452.854005	1653441452.9780152
.	1653441454.5570152	1653441454.6453733
space	1653441456.2152169	1653441456.377494
c	1653441459.3897233	1653441459.5519974
u	1653441460.302321	1653441460.428241
r	1653441461.4638605	1653441461.621015
i	1653441462.1420336	1653441462.3425612
o	1653441462.9049215	1653441463.048939
u	1653441464.3049774	1653441464.4329786
s	1653441465.2410142	1653441465.3778112
e	1653441466.0442724	1653441466.189059
r	1653441466.7937815	1653441466.9240065
space	1653441467.6943848	1653441467.8477585
a	1653441468.222983	1653441468.3931525
n	1653441469.0140386	1653441469.1681042
d	1653441469.8010573	1653441469.9312203
space	1653441470.3912401	1653441470.5509667
c	1653441471.1173422	1653441471.2662458
u	1653441471.8553047	1653441471.9710655
r	1653441472.677659	1653441472.8180995
i	1653441473.5090396	1653441473.659313
o	1653441474.359043	1653441474.5153203
u	1653441475.2480137	1653441475.3670382
s	1653441476.0590906	1653441476.229015
e	1653441476.9302773	1653441477.1060333
r	1653441477.803339	1653441477.9782486
.	1653441479.040979	1653441479.1753464
space	1653441481.6660078	1653441481.8237736
c	1653441482.5143762	1653441482.65937
r	1653441483.3744748	1653441483.5301096
i	1653441484.1064854	1653441484.2419212
e	1653441485.0230432	1653441485.1590476
d	1653441485.9470153	1653441486.0958354
space	1653441486.8179255	1653441486.9999804
a	1653441487.9390197	1653441488.117234
l	1653441489.1327384	1653441489.280482
i	1653441489.912017	1653441490.0660083
c	1653441490.573041	1653441490.7390182
e	1653441491.3705952	1653441491.5234163
