key	start	end
t	1653792821.5651062	1653792821.6513183
e	1653792822.4853816	1653792822.6233053
a	1653792823.338073	1653792823.5070782
space	1653792823.9730892	1653792824.1462831
i	1653792824.727317	1653792824.8367841
s	1653792825.3212643	1653792825.4486876
space	1653792825.954035	1653792826.1070523
a	1653792826.489573	1653792826.653294
n	1653792827.197076	1653792827.3247511
space	1653792827.8010392	1653792827.9562058
a	1653792828.4742293	1653792828.635325
r	1653792829.0753236	1653792829.2062132
o	1653792829.6153233	1653792829.748107
m	1653792830.2812483	1653792830.4020712
a	1653792830.7040706	1653792830.8262224
t	1653792831.3809855	1653792831.4749744
i	1653792831.905069	1653792832.0230021
c	1653792832.440044	1653792832.5650012
space	1653792832.990304	1653792833.1502354
b	1653792833.577088	1653792833.6820638
e	1653792834.0794969	1653792834.204065
v	1653792834.7032442	1653792834.829245
e	1653792835.2370205	1653792835.3880174
r	1653792835.72525	1653792835.8850482
a	1653792836.4202335	1653792836.5800574
g	1653792837.0213454	1653792837.1680672
e	1653792837.5773118	1653792837.6881864
space	1653792838.1032877	1653792838.2581036
p	1653792838.7990944	1653792838.961283
r	1653792839.3250852	1653792839.48335
e	1653792839.8070776	1653792839.9430978
p	1653792840.4142172	1653792840.54311
a	1653792840.8713033	1653792840.998074
r	1653792841.4037974	1653792841.5571089
e	1653792841.8442822	1653792842.0140991
d	1653792842.5803049	1653792842.7293036
space	1653792843.1339295	1653792843.318119
b	1653792843.7453754	1653792843.8812964
y	1653792844.2880878	1653792844.4000974
space	1653792844.958094	1653792845.1080222
p	1653792845.5670862	1653792845.7000933
o	1653792846.0543082	1653792846.180309
u	1653792846.879488	1653792846.985402
r	1653792848.150095	1653792848.2856867
i	1653792848.7625299	1653792848.9085565
n	1653792849.3243265	1653792849.4514048
g	1653792850.0280704	1653792850.1443312
space	1653792850.5754201	1653792850.7523346
h	1653792851.269091	1653792851.388826
o	1653792851.8933408	1653792852.0069025
t	1653792852.5323448	1653792852.6503456
space	1653792853.0423474	1653792853.2009356
o	1653792853.694471	1653792853.8223522
r	1653792854.3370886	1653792854.4540327
space	1653792854.8000622	1653792855.0014281
b	1653792855.4822564	1653792855.595376
o	1653792855.9854865	1653792856.1390407
i	1653792856.5500598	1653792856.6520646
l	1653792857.0523803	1653792857.2131085
i	1653792857.7970862	1653792857.9363754
n	1653792858.460355	1653792858.6081026
g	1653792859.0335116	1653792859.1461978
space	1653792859.5164	1653792859.632096
w	1653792860.2102578	1653792860.3603988
a	1653792860.7501054	1653792860.8702762
t	1653792861.4370756	1653792861.540488
e	1653792861.9150772	1653792862.0490732
r	1653792862.4276028	1653792862.5244012
space	1653792862.8044033	1653792862.9423516
o	1653792863.6114872	1653792863.7476604
v	1653792864.019094	1653792864.127088
e	1653792864.7104135	1653792864.846414
r	1653792865.2644165	1653792865.3784785
space	1653792865.7880726	1653792865.9454935
c	1653792866.3565466	1653792866.4575274
u	1653792866.8630605	1653792866.9788513
r	1653792867.4280937	1653792867.5308151
e	1653792867.991344	1653792868.1044326
d	1653792868.569075	1653792868.685436
space	1653792869.1044383	1653792869.2676554
o	1653792869.8454423	1653792869.9741116
r	1653792871.4504514	1653792871.5590758
space	1653792871.9186444	1653792872.0714552
f	1653792872.4154813	1653792872.5430722
r	1653792873.051873	1653792873.1744566
e	1653792873.514094	1653792873.6088746
s	1653792874.130963	1653792874.2524838
h	1653792874.657093	1653792874.7530742
space	1653792875.1369228	1653792875.2959301
l	1653792875.8631103	1653792875.985579
e	1653792876.3444793	1653792876.4515755
a	1653792876.9080036	1653792877.0090454
v	1653792877.4940503	1653792877.581486
e	1653792878.2735717	1653792878.3930745
s	1653792878.849105	1653792878.9569073
space	1653792879.355607	1653792879.5070026
o	1653792879.9530306	1653792880.091038
f	1653792880.5440478	1653792880.6440527
space	1653792881.0770614	1653792881.2170699
c	1653792881.718106	1653792881.8390975
a	1653792882.4039614	1653792882.5221412
m	1653792884.6122358	1653792884.7036154
e	1653792885.2075064	1653792885.3280969
l	1653792886.4170845	1653792886.544092
l	1653792886.8370848	1653792886.9634545
i	1653792887.7470922	1653792887.848093
a	1653792888.458958	1653792888.6004038
space	1653792888.9564195	1653792889.0840952
s	1653792889.572448	1653792889.7030854
i	1653792890.1096678	1653792890.2404778
n	1653792890.8185177	1653792890.945103
e	1653792891.262433	1653792891.386833
n	1653792891.798117	1653792891.9370825
s	1653792892.4265697	1653792892.5295658
i	1653792893.0508437	1653792893.1596508
s	1653792893.6191468	1653792893.7265775
,	1653792894.1820712	1653792894.3180964
space	1653792894.7180934	1653792894.8845837
a	1653792895.9816034	1653792896.105604
n	1653792896.5989952	1653792896.6971433
space	1653792897.7830837	1653792897.9081843
e	1653792898.9350774	1653792899.0520225
v	1653792899.357002	1653792899.4920964
e	1653792899.7716947	1653792899.9080288
r	1653792900.3760502	1653792900.4950533
g	1653792901.4837775	1653792901.6015112
r	1653792902.163638	1653792902.2930784
e	1653792903.4268658	1653792903.5657344
e	1653792904.0216599	1653792904.1522214
n	1653792904.7562675	1653792904.8701015
space	1653792905.2892354	1653792905.4400957
s	1653792906.0955818	1653792906.2200963
h	1653792906.61465	1653792906.7180731
r	1653792907.1946533	1653792907.2872486
u	1653792907.661456	1653792907.7417269
b	1653792908.5580745	1653792908.6560924
space	1653792909.104446	1653792909.226665
n	1653792909.8017533	1653792909.8901114
a	1653792910.235745	1653792910.3417795
t	1653792910.7370722	1653792910.8357787
i	1653792911.3465974	1653792911.4380693
v	1653792911.9330757	1653792912.0268745
e	1653792912.5478597	1653792912.641097
space	1653792913.208072	1653792913.3553107
t	1653792913.8300948	1653792913.9318123
o	1653792914.451596	1653792914.5446923
space	1653792915.0238016	1653792915.1776612
c	1653792915.658071	1653792915.7718108
h	1653792916.06765	1653792916.1580756
i	1653792916.8138258	1653792916.8980954
n	1653792917.2857046	1653792917.3767061
a	1653792918.643718	1653792918.7350733
,	1653792920.265752	1653792920.3668673
space	1653792920.9207468	1653792921.0400856
i	1653792922.443024	1653792922.5327399
n	1653792923.0570748	1653792923.1458058
d	1653792923.548071	1653792923.6550791
i	1653792923.9798334	1653792924.0580323
a	1653792924.504076	1653792924.6210363
space	1653792925.2690654	1653792925.3969944
a	1653792925.797096	1653792925.926123
n	1653792926.2961042	1653792926.388104
d	1653792926.7991025	1653792926.890107
space	1653792927.3930995	1653792927.5237985
o	1653792928.2570875	1653792928.348097
t	1653792928.685788	1653792928.7991095
h	1653792929.3938024	1653792929.4802718
e	1653792929.8158054	1653792929.954293
r	1653792930.3223097	1653792930.4138002
space	1653792930.7271075	1653792930.8458
e	1653792931.2854676	1653792931.379894
a	1653792931.7223775	1653792931.8320744
s	1653792932.4011004	1653792932.515119
t	1653792932.9224277	1653792933.0050325
space	1653792933.4364507	1653792933.567077
a	1653792933.886458	1653792934.0238183
s	1653792934.5083966	1653792934.6376812
i	1653792934.9418228	1653792935.0360959
a	1653792935.5016565	1653792935.6258278
n	1653792936.0150974	1653792936.114559
space	1653792936.43829	1653792936.5519352
c	1653792937.1699657	1653792937.2670884
o	1653792937.6346278	1653792937.7280962
u	1653792938.2666564	1653792938.3459663
n	1653792938.740678	1653792938.8112626
t	1653792939.297377	1653792939.3838682
r	1653792939.7998366	1653792939.8888621
i	1653792940.2818358	1653792940.3467512
e	1653792940.731873	1653792940.8370154
s	1653792941.2720718	1653792941.3818462
.	1653792942.4238899	1653792942.4970393
space	1653792943.8480744	1653792943.9750698
t	1653792944.4770682	1653792944.5770872
e	1653792944.9261045	1653792945.016107
a	1653792945.8358715	1653792945.9168148
space	1653792946.4621046	1653792946.5790508
i	1653792947.0840943	1653792947.1719096
s	1653792947.6328979	1653792947.7431314
space	1653792948.2622228	1653792948.401886
a	1653792948.8338883	1653792948.965889
l	1653792949.2910917	1653792949.392186
s	1653792949.868071	1653792949.9743004
o	1653792950.4341125	1653792950.535898
space	1653792951.1000717	1653792951.2230737
r	1653792951.5531182	1653792951.651929
a	1653792952.0081987	1653792952.1423988
r	1653792952.5450842	1653792952.657089
e	1653792953.0769281	1653792953.1944466
l	1653792953.5080702	1653792953.6104655
y	1653792954.192437	1653792954.285919
space	1653792954.858075	1653792954.9775114
m	1653792955.4640079	1653792955.5591621
a	1653792955.8251083	1653792955.925074
d	1653792956.473077	1653792956.5819619
e	1653792956.9819646	1653792957.0810764
space	1653792957.4971004	1653792957.607075
f	1653792957.9790707	1653792958.0810401
r	1653792958.4773238	1653792958.5960484
o	1653792958.9210753	1653792958.9975953
m	1653792959.611116	1653792959.7130842
space	1653792960.6582222	1653792960.7710767
t	1653792962.203964	1653792962.3210304
h	1653792962.827923	1653792962.9190903
e	1653792963.3791196	1653792963.495076
space	1653792963.8372636	1653792963.9369502
l	1653792964.3460765	1653792964.4388423
e	1653792965.0488925	1653792965.1540048
a	1653792966.296097	1653792966.4190478
v	1653792967.7150886	1653792967.8140042
e	1653792968.2901714	1653792968.4120378
s	1653792970.2740235	1653792970.3800237
space	1653792970.72811	1653792970.8610966
o	1653792971.3340461	1653792971.4261167
f	1653792971.9140496	1653792972.0083375
space	1653792972.3250737	1653792972.4250774
c	1653792972.8500383	1653792972.940039
a	1653792973.4890919	1653792973.5789294
n	1653792974.6300933	1653792974.7013178
m	1653792977.5620663	1653792977.6600733
e	1653792978.6640565	1653792978.7931058
l	1653792979.6267004	1653792979.727085
l	1653792980.1973133	1653792980.302096
i	1653792980.8254437	1653792980.9052932
a	1653792981.6793284	1653792981.7850885
space	1653792982.1882055	1653792982.334163
t	1653792982.8550873	1653792982.9360807
a	1653792983.510084	1653792983.6040847
l	1653792984.5260983	1653792984.6270285
i	1653792985.1010332	1653792985.2033055
e	1653792985.7610357	1653792985.8753483
n	1653792986.4400518	1653792986.5398195
s	1653792987.0080667	1653792987.1240146
i	1653792987.4751074	1653792987.5730476
s	1653792987.965045	1653792988.078095
.	1653792988.6210518	1653792988.725117
space	1653792989.3901174	1653792989.5120943
a	1653792989.8680887	1653792990.0341208
f	1653792990.5153491	1653792990.6186032
t	1653792991.0670907	1653792991.1601431
e	1653792991.5688312	1653792991.704831
r	1653792992.1041327	1653792992.2061286
space	1653792992.595133	1653792992.7001362
w	1653792993.0021477	1653792993.1170957
a	1653792993.4695911	1653792993.572157
t	1653792993.9063148	1653792994.0133264
e	1653792994.3353226	1653792994.4828482
r	1653792994.7631476	1653792994.8721483
,	1653792995.4020736	1653792995.485209
space	1653792995.7981017	1653792995.9021542
i	1653792996.5251818	1653792996.5990717
t	1653792996.9931753	1653792997.0811515
space	1653792997.557087	1653792997.7061641
i	1653792998.0561662	1653792998.1530776
s	1653792998.397075	1653792998.5190935
space	1653792998.921075	1653792999.0425417
t	1653792999.3880703	1653792999.5090716
h	1653793000.148972	1653793000.2520885
e	1653793000.6070964	1653793000.712181
space	1653793001.0021827	1653793001.1050677
m	1653793001.6741865	1653793001.761067
o	1653793002.1212685	1653793002.200189
s	1653793002.6980858	1653793002.8044438
t	1653793003.1190984	1653793003.1931002
space	1653793003.8822145	1653793004.0090187
w	1653793004.3461046	1653793004.4780958
i	1653793004.8431118	1653793004.9420674
d	1653793005.2142062	1653793005.334207
e	1653793005.643865	1653793005.80421
l	1653793006.7150867	1653793006.8170738
y	1653793007.3242183	1653793007.3770764
space	1653793009.0189023	1653793009.144064
c	1653793009.6880512	1653793009.803042
o	1653793010.255088	1653793010.3380706
n	1653793010.7562377	1653793010.838075
s	1653793011.321087	1653793011.4362414
u	1653793011.745029	1653793011.822022
m	1653793012.2110484	1653793012.28406
e	1653793012.6230283	1653793012.7420628
d	1653793013.1370752	1653793013.2370555
space	1653793013.8601012	1653793013.994106
d	1653793014.5761325	1653793014.6850836
r	1653793014.9861042	1653793015.0961418
i	1653793015.3691912	1653793015.4575043
n	1653793015.7491176	1653793015.8241751
k	1653793016.1224375	1653793016.195355
space	1653793016.9137268	1653793017.0402305
i	1653793017.4580972	1653793017.5462532
n	1653793017.9762726	1653793018.062093
space	1653793018.3153117	1653793018.420298
t	1653793018.9343028	1653793019.0443008
h	1653793019.336302	1653793019.4163024
e	1653793019.720304	1653793019.825319
space	1653793020.1136801	1653793020.2155457
w	1653793020.5410845	1653793020.6628556
o	1653793020.888093	1653793020.9791079
r	1653793021.2562969	1653793021.3642976
l	1653793021.5989969	1653793021.6822994
d	1653793021.995565	1653793022.080053
.	1653793023.235308	1653793023.325309
space	1653793023.8230968	1653793023.9290752
t	1653793024.4323149	1653793024.54832
h	1653793024.8280945	1653793024.9074907
e	1653793025.1813326	1653793025.304267
r	1653793025.639551	1653793025.7433362
e	1653793026.0654032	1653793026.176325
space	1653793026.7334375	1653793026.8514075
a	1653793027.2338257	1653793027.3643315
r	1653793027.6853333	1653793027.794334
e	1653793028.1243515	1653793028.2430844
space	1653793028.4993193	1653793028.6250877
m	1653793028.9660616	1653793029.06116
a	1653793029.392359	1653793029.489917
n	1653793029.7780263	1653793029.8630376
y	1653793030.3070712	1653793030.390045
space	1653793030.9470315	1653793031.080353
d	1653793031.4860384	1653793031.5960526
i	1653793031.9243574	1653793032.012358
f	1653793032.7560534	1653793032.8720746
f	1653793033.1740746	1653793033.288095
e	1653793033.4833233	1653793033.6211116
r	1653793034.071539	1653793034.1780932
e	1653793034.5541627	1653793034.693088
n	1653793035.0900774	1653793035.1843946
t	1653793035.5514078	1653793035.6502056
space	1653793036.18509	1653793036.3262362
t	1653793036.629101	1653793036.730236
y	1653793037.0032783	1653793037.0681038
p	1653793037.539713	1653793037.6123893
e	1653793037.8376324	1653793037.9302902
s	1653793038.3575835	1653793038.4779148
space	1653793038.9133158	1653793039.0198426
o	1653793039.5515113	1653793039.6340742
f	1653793039.9120958	1653793040.0044026
space	1653793040.4064023	1653793040.4953258
t	1653793040.838479	1653793040.9370904
e	1653793041.2514102	1653793041.347072
a	1653793041.8104134	1653793041.8944137
,	1653793044.0644255	1653793044.1758678
space	1653793044.5115283	1653793044.5944288
s	1653793045.0864315	1653793045.2030735
o	1653793045.4522407	1653793045.539323
m	1653793045.8614264	1653793045.945079
e	1653793046.4264388	1653793046.5234532
space	1653793047.0554426	1653793047.1754434
h	1653793047.544835	1653793047.6188424
a	1653793047.915865	1653793048.0238738
v	1653793048.4159055	1653793048.495912
e	1653793048.8809445	1653793048.9999528
space	1653793049.3609834	1653793049.484992
a	1653793049.7560139	1653793049.859023
space	1653793050.2890575	1653793050.4200675
c	1653793051.0811224	1653793051.1781542
o	1653793051.4941554	1653793051.6011636
o	1653793051.937191	1653793052.0271976
l	1653793052.3052208	1653793052.3912272
i	1653793052.8122618	1653793052.8932695
n	1653793053.2322958	1653793053.313303
g	1653793053.7124805	1653793053.7790248
,	1653793055.084086	1653793055.1709802
space	1653793055.761576	1653793055.8715553
s	1653793056.7260535	1653793056.8240628
l	1653793057.194097	1653793057.286069
i	1653793058.0293238	1653793058.0997047
g	1653793058.5680866	1653793058.674118
h	1653793058.9794006	1653793059.049535
t	1653793059.490129	1653793059.5961735
l	1653793059.849545	1653793059.9200935
y	1653793060.3022075	1653793060.3599808
space	1653793061.5393581	1653793061.668093
b	1653793062.2362797	1653793062.3340764
i	1653793062.679097	1653793062.7538996
t	1653793063.187086	1653793063.2943275
t	1653793063.6303685	1653793063.7343476
e	1653793064.1200979	1653793064.2323701
r	1653793064.585103	1653793064.667088
,	1653793065.8900864	1653793065.9715667
space	1653793066.2281888	1653793066.3194718
a	1653793066.9740973	1653793067.0880938
n	1653793067.322094	1653793067.4015574
d	1653793067.7880974	1653793067.8946948
space	1653793068.295085	1653793068.420028
a	1653793068.7425654	1653793068.8741066
s	1653793069.2911513	1653793069.4205692
t	1653793070.5261483	1653793070.6390352
r	1653793071.1140742	1653793071.237076
i	1653793071.5297742	1653793071.6195872
n	1653793072.37167	1653793072.4770875
g	1653793072.9198961	1653793072.995101
e	1653793073.34905	1653793073.4500859
n	1653793073.6980715	1653793073.7689314
t	1653793074.5705981	1653793074.6530027
space	1653793075.0266004	1653793075.1257467
f	1653793075.4636028	1653793075.5990186
l	1653793075.92501	1653793076.0090911
a	1653793076.343608	1653793076.4680352
v	1653793077.5616393	1653793077.6626155
o	1653793077.9280956	1653793078.0136938
r	1653793078.3690813	1653793078.4536502
,	1653793080.6042428	1653793080.6951034
space	1653793080.9771047	1653793081.0630085
w	1653793081.5396376	1653793081.6626382
h	1653793081.9826396	1653793082.0480971
i	1653793082.3357346	1653793082.403088
l	1653793082.691312	1653793082.7657084
e	1653793083.0436459	1653793083.1537278
space	1653793083.8724542	1653793083.9803772
o	1653793084.4281049	1653793084.4980736
t	1653793085.0100834	1653793085.1266577
h	1653793085.3770857	1653793085.4529607
e	1653793085.6297407	1653793085.7480743
r	1653793086.2474322	1653793086.358074
s	1653793086.6859045	1653793086.8005052
space	1653793088.587113	1653793088.7226775
h	1653793089.1475914	1653793089.2170768
a	1653793089.630683	1653793089.7606418
v	1653793090.126685	1653793090.2006779
e	1653793090.8447075	1653793090.9630775
space	1653793091.419061	1653793091.5257063
v	1653793092.2061393	1653793092.2700975
a	1653793092.6017752	1653793092.725077
s	1653793093.1820712	1653793093.3116875
t	1653793093.769071	1653793093.8574862
l	1653793094.1520922	1653793094.2326834
y	1653793094.7818322	1653793094.8400722
space	1653793096.3199654	1653793096.4637215
d	1653793096.8920712	1653793097.000275
i	1653793097.4258146	1653793097.491078
f	1653793098.020075	1653793098.1210341
f	1653793098.5630052	1653793098.6500576
e	1653793099.0853152	1653793099.214737
r	1653793099.5810924	1653793099.6989744
e	1653793100.0880713	1653793100.1950204
n	1653793100.5710354	1653793100.6690426
t	1653793101.1620638	1653793101.229059
space	1653793102.8461046	1653793102.9879544
p	1653793103.7641609	1653793103.8701658
r	1653793104.2560382	1653793104.3781052
o	1653793104.8210886	1653793104.8940973
f	1653793105.354233	1653793105.4684958
i	1653793105.9001298	1653793105.983317
l	1653793106.483791	1653793106.560288
e	1653793106.9950733	1653793107.1198902
s	1653793107.50233	1653793107.6223357
space	1653793108.0442903	1653793108.1703603
t	1653793108.5585144	1653793108.6537902
h	1653793109.0010564	1653793109.0804021
a	1653793109.4920578	1653793109.5954816
t	1653793109.9964435	1653793110.0564458
space	1653793110.8038156	1653793110.9200947
i	1653793111.4025204	1653793111.4805238
n	1653793111.8144343	1653793111.8830962
c	1653793112.393085	1653793112.500267
l	1653793113.016335	1653793113.1140265
u	1653793113.5146165	1653793113.5770872
d	1653793114.0470884	1653793114.164632
e	1653793114.4951122	1653793114.6070886
space	1653793115.0070648	1653793115.1140468
s	1653793115.4318924	1653793115.562173
w	1653793115.9468234	1653793116.0727186
e	1653793116.4381318	1653793116.5507402
e	1653793116.9122713	1653793117.0318692
t	1653793117.4598708	1653793117.5401
,	1653793118.465908	1653793118.5559418
space	1653793118.9283185	1653793119.0290258
n	1653793119.6500328	1653793119.7261214
u	1653793120.2299688	1653793120.3110585
t	1653793121.0610824	1653793121.1572108
t	1653793121.5642946	1653793121.6338637
y	1653793122.3432026	1653793122.4261189
,	1653793123.11996	1653793123.200873
space	1653793123.6419063	1653793123.7270868
f	1653793124.2319028	1653793124.3626356
l	1653793124.6819055	1653793124.7720478
o	1653793125.1119082	1653793125.193918
r	1653793125.5410917	1653793125.6619308
a	1653793125.9888735	1653793126.1141572
l	1653793126.465978	1653793126.544891
,	1653793127.5773046	1653793127.6633203
space	1653793128.00136	1653793128.0844643
o	1653793128.5550773	1653793128.6420736
r	1653793129.0800743	1653793129.1791794
space	1653793129.5199878	1653793129.6280727
g	1653793130.1590917	1653793130.247072
r	1653793130.619979	1653793130.7219808
a	1653793131.058076	1653793131.192029
s	1653793131.6070774	1653793131.7259982
s	1653793131.9403405	1653793132.049089
y	1653793132.6930742	1653793132.7780764
space	1653793133.1520214	1653793133.2295465
n	1653793133.454619	1653793133.5181053
o	1653793134.163085	1653793134.2496474
t	1653793134.7910738	1653793134.8693082
e	1653793135.3920913	1653793135.5207613
s	1653793136.2586465	1653793136.3860564
.	1653793136.7500765	1653793136.8230753
space	1653793137.31753	1653793137.4100237
t	1653793137.7879279	1653793137.8599331
e	1653793138.527249	1653793138.6450713
a	1653793138.9960659	1653793139.1027596
space	1653793139.604783	1653793139.7120745
h	1653793140.284075	1653793140.372067
a	1653793140.7592351	1653793140.8802414
s	1653793141.2119942	1653793141.3365088
space	1653793141.707902	1653793141.8200734
a	1653793142.2220614	1653793142.350083
space	1653793143.1820738	1653793143.3001769
s	1653793143.7999754	1653793143.9419818
t	1653793144.4150298	1653793144.52403
i	1653793144.758045	1653793144.8421433
m	1653793145.1920123	1653793145.2620273
u	1653793145.9420147	1653793146.0100756
l	1653793146.5546634	1653793146.635127
a	1653793147.3891246	1653793147.507111
t	1653793148.0341234	1653793148.1545393
i	1653793148.552046	1653793148.6415641
n	1653793149.3151612	1653793149.4040875
g	1653793149.826875	1653793149.9000473
space	1653793150.683131	1653793150.824076
e	1653793151.123209	1653793151.2530744
f	1653793151.6940858	1653793151.830048
f	1653793152.4211612	1653793152.5354564
e	1653793152.8199718	1653793152.9560761
c	1653793153.5344384	1653793153.6447208
t	1653793154.0585136	1653793154.1464572
space	1653793154.701088	1653793154.7980735
i	1653793155.1866639	1653793155.2813253
n	1653793156.8662233	1653793156.9644039
space	1653793157.3031094	1653793157.404097
h	1653793158.0860696	1653793158.1984553
u	1653793158.762073	1653793158.8420746
m	1653793159.3290617	1653793159.416077
a	1653793159.7776227	1653793159.906477
n	1653793160.336082	1653793160.4251904
s	1653793160.9000728	1653793161.0401778
space	1653793161.7660897	1653793161.8999274
p	1653793162.4521074	1653793162.5380943
r	1653793163.2300339	1653793163.3700993
i	1653793164.0690622	1653793164.1610682
m	1653793164.548082	1653793164.648757
a	1653793165.1240668	1653793165.2530975
r	1653793166.1681187	1653793166.2861266
i	1653793166.7141125	1653793166.809134
l	1653793167.218102	1653793167.3061807
y	1653793167.7970917	1653793167.8740752
space	1653793168.6130893	1653793168.7291167
d	1653793169.2061322	1653793169.3460941
u	1653793169.747131	1653793169.8313484
e	1653793170.2880967	1653793170.4230866
space	1653793170.8880968	1653793171.0022454
t	1653793171.5380874	1653793171.667098
o	1653793171.9750738	1653793172.0561483
space	1653793172.5493355	1653793172.6500323
i	1653793172.9786947	1653793173.079154
t	1653793173.5242708	1653793173.5995529
s	1653793174.0062034	1653793174.1380928
space	1653793174.4671202	1653793174.5951164
c	1653793175.1221654	1653793175.2441046
a	1653793175.7041254	1653793175.8389065
f	1653793176.59619	1653793176.722098
f	1653793177.054103	1653793177.1862001
e	1653793177.6037195	1653793177.7431815
i	1653793178.2850752	1653793178.377084
n	1653793178.6991854	1653793178.7875595
e	1653793179.2545068	1653793179.3633301
space	1653793179.7401912	1653793179.836392
c	1653793180.3752747	1653793180.476327
o	1653793180.772489	1653793180.8552
n	1653793181.3720562	1653793181.4531047
t	1653793181.967079	1653793182.055075
e	1653793182.5071604	1653793182.6312768
n	1653793182.9512966	1653793183.0313182
t	1653793183.4313185	1653793183.4950974
.	1653793184.4032176	1653793184.4832182
space	1653793185.5933084	1653793185.7030377
t	1653793186.4433117	1653793186.5200427
e	1653793187.1340747	1653793187.249325
a	1653793187.6858263	1653793187.8173199
space	1653793188.2299595	1653793188.3380096
p	1653793188.79376	1653793188.8820398
l	1653793189.2920604	1653793189.3700616
a	1653793189.76588	1653793189.894894
n	1653793190.1987834	1653793190.2741892
t	1653793190.6115427	1653793190.6713316
s	1653793191.0642257	1653793191.1693184
space	1653793191.8421535	1653793191.9301581
a	1653793192.2393012	1653793192.3592927
r	1653793192.8131118	1653793192.9470367
e	1653793193.251268	1653793193.3512685
space	1653793194.5151048	1653793194.6581104
n	1653793195.626281	1653793195.713438
a	1653793196.017124	1653793196.1160984
t	1653793196.5213008	1653793196.6113875
i	1653793196.8920975	1653793196.9613848
v	1653793197.708231	1653793197.7936506
e	1653793198.9532998	1653793199.073124
space	1653793199.3580961	1653793199.4730742
t	1653793200.0876377	1653793200.192307
o	1653793200.4646556	1653793200.5695097
space	1653793201.0114527	1653793201.1396809
e	1653793201.855097	1653793201.9780748
a	1653793202.2770884	1653793202.4023192
s	1653793202.6303203	1653793202.7620978
t	1653793203.4204867	1653793203.5033255
space	1653793204.5463314	1653793204.6914098
a	1653793205.029325	1653793205.1723354
s	1653793205.9199598	1653793206.038113
i	1653793206.4782307	1653793206.5589716
a	1653793206.937047	1653793207.044001
space	1653793207.4803479	1653793207.5989788
a	1653793207.9750206	1653793208.1130774
n	1653793208.4030154	1653793208.5050197
d	1653793209.0390658	1653793209.160071
space	1653793209.4210615	1653793209.5450675
p	1653793210.4881024	1653793210.6180885
r	1653793210.931392	1653793211.0511885
o	1653793211.3413851	1653793211.4370856
