key	start	end
t	1651179814.142943	1651179814.2316191
e	1651179814.605584	1651179814.729269
a	1651179815.7854872	1651179815.887291
space	1651179816.8593438	1651179817.026291
i	1651179817.6967978	1651179817.786294
s	1651179818.146446	1651179818.2482529
space	1651179818.716508	1651179818.83912
a	1651179819.168642	1651179819.277317
n	1651179819.63573	1651179819.739369
space	1651179820.029356	1651179820.165289
a	1651179821.554324	1651179821.70255
r	1651179822.22437	1651179822.3142169
o	1651179822.646388	1651179822.735323
m	1651179823.4277499	1651179823.536366
a	1651179823.964374	1651179824.08047
t	1651179824.9095821	1651179825.010169
i	1651179825.532547	1651179825.638463
c	1651179827.518767	1651179827.630433
space	1651179828.10974	1651179828.2475278
b	1651179828.67447	1651179828.7825
e	1651179830.466958	1651179830.586024
v	1651179831.269953	1651179831.392019
e	1651179832.205994	1651179832.307091
r	1651179833.90903	1651179834.02402
a	1651179834.447855	1651179834.546813
g	1651179836.647037	1651179836.7629771
e	1651179837.350977	1651179837.43904
space	1651179839.4130392	1651179839.549369
p	1651179840.2515671	1651179840.349069
r	1651179841.024253	1651179841.1391292
e	1651179841.847114	1651179841.9756732
p	1651179842.6451	1651179842.7461572
a	1651179843.1451461	1651179843.2600179
r	1651179845.185108	1651179845.3589098
e	1651179846.121144	1651179846.215839
d	1651179847.076255	1651179847.175959
space	1651179848.017169	1651179848.173142
b	1651179848.6412501	1651179848.769115
y	1651179849.9722822	1651179850.083251
space	1651179850.830261	1651179850.998179
p	1651179851.75122	1651179851.873125
o	1651179852.290975	1651179852.411961
u	1651179853.307492	1651179853.428721
r	1651179854.634227	1651179854.737271
i	1651179855.1312041	1651179855.253081
n	1651179855.913265	1651179856.03124
g	1651179856.770373	1651179856.872343
space	1651179857.6353521	1651179857.794226
h	1651179858.3042822	1651179858.4311428
o	1651179858.8833358	1651179858.99731
t	1651179859.6154501	1651179859.72107
space	1651179860.97533	1651179861.142503
o	1651179862.609387	1651179862.716376
r	1651179863.129005	1651179863.2242858
space	1651179863.6861491	1651179863.82739
b	1651179864.249467	1651179864.385346
o	1651179864.7777112	1651179864.874045
i	1651179865.532479	1651179865.6541388
l	1651179866.366446	1651179866.484195
i	1651179866.778529	1651179866.893481
n	1651179867.343522	1651179867.447414
g	1651179867.970491	1651179868.058225
space	1651179868.677408	1651179868.810223
w	1651179869.13244	1651179869.2364302
a	1651179869.5484202	1651179869.663427
t	1651179870.101132	1651179870.1928089
e	1651179870.534518	1651179870.667952
